bins	Ribosomal_RNA_12S	Ribosomal_RNA_16S	Ribosomal_RNA_18S	Ribosomal_RNA_23S	Ribosomal_RNA_28S	Ribosomal_RNA_5S
METABAT__1	0	0	0	0	0	0
METABAT__10	0	0	0	0	0	0
METABAT__11	0	1	0	0	0	0
METABAT__12	0	0	0	0	0	0
METABAT__13	0	0	0	0	0	0
METABAT__14	0	0	0	0	0	0
METABAT__15	0	0	0	0	0	0
METABAT__16	0	0	0	0	0	0
METABAT__17	0	0	0	0	0	0
METABAT__18	0	0	0	0	0	0
METABAT__19	0	0	0	0	0	0
METABAT__2	0	0	0	0	0	0
METABAT__20	0	0	0	0	0	0
METABAT__21	0	0	0	0	0	0
METABAT__22	0	0	0	0	0	0
METABAT__23	0	0	0	0	0	0
METABAT__24	0	0	0	0	0	0
METABAT__25	0	0	0	0	0	0
METABAT__26	0	1	0	0	0	0
METABAT__27	0	0	0	0	0	0
METABAT__28	0	1	0	1	0	0
METABAT__29	0	0	0	0	0	0
METABAT__3	0	0	0	0	0	0
METABAT__30	0	1	0	0	0	0
METABAT__31	0	0	0	0	0	0
METABAT__32	0	0	0	0	0	0
METABAT__33	0	0	0	0	0	0
METABAT__34	0	0	0	0	0	0
METABAT__35	0	0	0	0	0	0
METABAT__36	0	0	0	0	0	0
METABAT__37	0	1	0	0	0	0
METABAT__38	0	0	0	0	0	0
METABAT__39	0	0	0	0	0	0
METABAT__4	0	0	0	0	0	0
METABAT__40	0	0	0	0	0	0
METABAT__41	0	1	0	0	0	0
METABAT__42	0	0	0	0	0	0
METABAT__43	0	0	0	0	0	0
METABAT__44	0	0	0	0	0	0
METABAT__45	0	0	0	0	0	0
METABAT__46	0	0	0	0	0	0
METABAT__5	0	0	0	0	0	0
METABAT__6	0	0	0	0	0	0
METABAT__7	0	0	0	0	0	0
METABAT__8	0	0	0	0	0	0
METABAT__9	0	0	0	0	0	0
